box_id,protoblock_provider,road_provider,protoblock_count,road_count,sample_count,mean_distance_m,p95_distance_m,max_distance_m
1,protomaps,protomaps,42,122,267,1.860798581635768e-05,4.56788396339663e-05,6.012813230880324e-05
1,osmnx,osmnx,72,365,614,1.7083106758131448e-05,4.373680268176698e-05,5.68021750854483e-05
1,protomaps,osmnx,42,365,267,0.5955235991285308,2.2310485223725296,3.1291446056986008
