width,height,expected_count,actual_count,duration
2,2,4,4,0.1692500114440918
3,3,9,9,0.15261602401733398
4,4,16,16,0.15307307243347168
5,5,25,25,0.1564924716949463
6,6,36,36,0.1589357852935791
7,7,49,49,0.16441035270690918
8,8,64,64,0.16875982284545898
9,9,81,81,0.17806482315063477
10,10,100,100,0.18390631675720215
